>>>>>Begin Spectral Data<<<<<,W/m^2/nm
676.483,0.011805849
676.823,0.010975219
677.162,0.013714586
677.501,0.009954167
677.841,0.010622761
678.18,0.011541825
678.52,0.013039203
678.859,0.013543446
679.198,0.010433327
679.537,0.013876888
679.876,0.010156446
680.215,0.013876888
680.555,0.013022319
680.894,0.011151562
681.232,0.012001968
681.571,0.013269307
681.91,0.012927098
682.249,0.010764777
682.588,0.011194924
682.926,0.012730378
683.265,0.00987495
683.604,0.010975809
683.942,0.01402145
684.281,0.011497849
684.619,0.013663554
684.957,0.012963311
685.296,0.01497292
685.634,0.012596514
685.972,0.010012233
686.31,0.011959125
686.649,0.013021359
686.987,0.011937012
687.325,0.014962948
687.663,0.014696175
688.001,0.016836245
688.338,0.014509205
688.676,0.011889821
689.014,0.012159558
689.352,0.012045556
689.69,0.012407546
690.027,0.012748048
690.365,0.014294821
690.702,0.01373238
691.04,0.012543147
691.377,0.014266422
691.715,0.014343124
692.052,0.014712653
692.389,0.012653673
692.726,0.014047944
693.064,0.013655438
693.401,0.014216038
693.738,0.013539582
694.075,0.012506315
694.412,0.011911247
694.749,0.014555189
695.086,0.014726629
695.423,0.015566488
695.759,0.014039789
696.096,0.011906267
696.433,0.013632944
696.769,0.015245737
697.106,0.014742558
697.443,0.01532392
697.779,0.01257739
698.116,0.015088625
698.452,0.01457457
698.788,0.014869898
699.125,0.01267012
699.461,0.014224153
699.797,0.016510028
700.133,0.015693227
700.469,0.012057068
700.805,0.012157355
701.141,0.015545857
701.477,0.016352916
701.813,0.017750876
702.149,0.01335594
702.485,0.016615008
702.82,0.01720739
703.156,0.012765482
703.492,0.015850677
703.827,0.013653695
704.163,0.013240275
704.498,0.013407371
704.834,0.015975054
705.169,0.01524496
705.505,0.01416388
705.84,0.015494689
706.175,0.015567434
706.51,0.016915618
706.845,0.015533964
707.18,0.013683729
707.515,0.012030532
707.85,0.013103428
708.185,0.01273259
708.52,0.017122135
708.855,0.013332388
709.19,0.013828446
709.525,0.013937131
